"cycle","state","modeldate","candidate_name","start_date","end_date","pollster","samplesize","population","weight","influence","pct","house_adjusted_pct","trend_and_house_adjusted_pct","tracking","poll_id","question_id"
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44072",44081,"Morning Con",1,"lv","0.9601743",0,48,47.84831,48.95636,"T",68548,128325
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44106",44115,"Morning Consult",2610,"lv","0.9761202",0.1626984,52,51.83825,51.85999,"T",70760,132369
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44072",44081,"Morning Consult",2227,"lv","1.041242",0,50,49.8381,50.89816,"T",68550,128327
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44064",44073,"Morning Consult",2158,"lv","0.9042551",0,49,48.83814,49.97576,"T",68296,127917
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44050",44059,"Morning Consult",1777,"lv","1.156262",0,50,49.8381,50.78598,"T",68285,127906
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","43968",43977,"Morning Consult",2120,"lv","1.211936",0,48,47.83828,49.98344,"T",67801,126887
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44029",44038,"MorningConsult",2092,"lv","1.207903",0,50,49.8381,51.04383,"T",67693,126757
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44115",44124,"Morning Consult",1904,"lv","0.8454283",0.2437091,50,49.84815,49.77348,"T",71643,134215
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44106",44115,"Morning Consult",1993,"lv","0.9278",0.0959775,50,49.84815,49.86258,"T",70758,132367
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44064",44073,"Morning Consult",1567,"lv","0.7512193",0,49,48.84819,49.98857,"T",68295,127916
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44050",44059,"Morning Consult",1493,"lv","0.9235623",0,49,48.84819,49.84546,"T",68284,127905
2020,"North Carolina",11111,"Joseph R. Biden Jr.","43968",43977,"Morning Consult",1403,"lv","1.074904",0,46,45.84879,47.94419,"T",67799,126885
2020,"North Carolina",44138,"Joseph R. Biden Jr.","44029",44038,"Morning Consult",1504,"lv","1.099591",0,47,46.84851,48.03346,"T",67691,126755
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","NA",44133,"SurveyMonkey",5786,"lv","0.0335261",0.020618,52,50.68518,50.65336,"T",72357,135797
20,"Pennsylvania",44138,"Joseph R. Biden Jr.","44105",44132,"SurveyMonkey",1,"lv","0.4175465",0.1340907,52,50.68518,50.64987,"T",72254,135594
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44104",44131,"SurveyMonkey",10250,"lv","0.0281149",0.0085503,52,50.68518,50.65254,"T",72100,135227
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44102",44129,"SurveyMonkey",9986,"lv","0.0694859",0.0157106,52,50.68518,50.68615,"T",71990,134993
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44101",44128,"SurveyMonkey",9903,"lv","0.0367122",0.0077331,52,50.68518,50.69996,"T",71905,134819
2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44100",44127,"SurveyMonkey",9777,"lv","0.039128",0.0076056,52,50.68518,50.71483,"T",71838,134684
